Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0023_Sed_Field_ICR-U_p2,3747,1868,467,45,585,107,44,116,339,43,122,109,35,271,123,43,705,161,421
S19S_0024_Sed_Field_ICR-D_p15,3114,1682,373,44,509,116,33,83,408,47,69,99,18,208,185,55,590,110,417
S19S_0024_Sed_Field_ICR-M_p2,3750,1967,436,39,657,146,46,131,358,60,94,113,28,367,150,53,658,201,397
S19S_0025_Sed_Field_ICR-D_p2,3977,2226,622,39,720,150,54,134,343,46,118,94,30,312,169,64,889,163,505
S19S_0025_Sed_Field_ICR-M_p1,4381,2666,694,42,894,154,127,199,317,89,150,101,44,415,214,47,1128,219,498
S19S_0025_Sed_Field_ICR-U_p2,4030,2164,527,46,691,143,75,155,352,61,114,112,35,302,133,66,861,216,439
S19S_0026_Sed_Field_ICR-M_p2,3977,2435,670,38,692,286,192,155,239,43,120,76,21,294,107,36,1293,160,448
S19S_0026_Sed_Field_ICR-U_p2,3763,2304,640,41,649,232,185,140,253,41,123,81,22,285,123,42,1166,187,398
S19S_0027_Sed_Field_ICR-D_p2,4463,2602,641,55,807,157,138,217,315,88,184,135,46,384,168,58,1049,268,494
S19S_0027_Sed_Field_ICR-M_p2,4335,2647,664,53,787,208,187,208,296,91,153,120,47,379,147,66,1190,234,464
S19S_0027_Sed_Field_ICR-U_p2,4143,2312,579,49,742,134,105,169,350,83,101,145,53,388,117,58,920,221,410
S19S_0028_Sed_Field_ICR-D_p2,3920,1872,467,46,629,106,28,131,283,46,136,119,32,297,111,61,674,167,411
S19S_0028_Sed_Field_ICR-M_p1,2371,1043,228,29,359,71,11,61,211,20,53,75,25,152,64,44,388,53,242
S19S_0028_Sed_Field_ICR-U_p1,2407,1192,275,32,412,64,11,91,224,38,45,69,16,213,69,44,449,77,255
S19S_0029_Sed_Field_ICR-D_p2,3838,2085,645,31,635,153,111,144,257,42,67,81,24,284,211,27,966,94,398
S19S_0029_Sed_Field_ICR-M_p2,3934,2222,632,37,606,202,118,129,375,59,64,80,28,298,195,38,1019,91,473
S19S_0029_Sed_Field_ICR-U_p2,4054,2386,649,38,788,141,90,175,299,66,140,104,24,394,145,48,1015,196,460
S19S_0030_Sed_Field_ICR-U_p2,4495,2601,678,59,822,149,90,228,281,126,168,161,48,386,136,74,1060,232,504
S19S_0031_Sed_Field_ICR-D_p2,3950,2142,557,55,687,112,121,180,272,62,96,92,32,249,137,54,993,162,423
S19S_0031_Sed_Field_ICR-M_p2,4141,2494,693,44,819,126,123,219,251,86,133,87,37,334,153,55,1133,189,506
S19S_0031_Sed_Field_ICR-U_p2,3933,2335,638,47,773,131,116,204,223,71,132,96,26,341,136,65,1019,194,458
S19S_0032_Sed_Field_ICR-D_p2,4369,1987,550,46,592,146,112,127,262,69,83,65,30,276,124,56,868,117,451
