Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0083_Sed_Field_ICR-M_p2,3599,2178,673,30,576,168,139,137,323,74,58,92,24,434,190,48,929,119,342
S19S_0083_Sed_Field_ICR-U_p2,3450,1988,611,27,569,156,112,132,237,59,85,82,33,343,91,48,889,100,402
S19S_0084_Sed_Field_ICR-D_p2,3961,2523,683,35,718,252,252,160,251,56,116,63,39,284,151,37,1346,142,461
S19S_0084_Sed_Field_ICR-M_p2,3470,2035,538,48,559,211,214,103,252,39,71,80,24,268,88,59,997,138,381
S19S_0084_Sed_Field_ICR-U_p2,3867,2458,657,36,701,247,260,164,232,50,111,80,34,290,128,29,1327,160,410
S19S_0085_Sed_Field_ICR-D_p15,3558,1849,406,41,679,91,29,128,302,55,118,101,32,280,137,57,598,192,452
S19S_0085_Sed_Field_ICR-M_p15,3840,2130,496,37,798,88,32,170,330,61,118,82,29,289,160,61,852,167,490
S19S_0086_Sed_Field_ICR-D_p2,3951,2295,580,44,781,117,82,185,328,60,118,94,32,425,176,44,924,199,401
S19S_0086_Sed_Field_ICR-M_p2,4116,2529,730,28,805,129,103,203,246,97,188,126,28,424,165,37,1046,213,490
S19S_0086_Sed_Field_ICR-U_p2,3774,2215,598,33,688,177,135,186,224,95,79,80,24,327,181,26,1018,136,423
S19S_0087_Sed_Field_ICR-U_p15,2313,1161,235,35,431,61,31,69,244,19,36,74,17,152,58,31,412,171,246
S19S_0089_Sed_Field_ICR-D_p2,3471,1942,497,44,648,111,34,123,358,52,75,118,21,334,197,36,699,144,393
S19S_0089_Sed_Field_ICR-M_p2,3668,2170,588,39,687,151,64,143,323,49,126,110,32,383,153,61,809,174,448
S19S_0089_Sed_Field_ICR-U_p2,3567,2042,568,33,629,145,55,122,321,46,123,103,23,325,161,45,827,149,409
S19S_0090_Sed_Field_ICR-D_p2,3657,2229,600,28,573,349,201,127,224,61,66,65,43,274,140,32,1194,122,359
S19S_0090_Sed_Field_ICR-M_p2,3645,2310,634,22,604,324,231,142,226,45,82,64,44,313,138,34,1241,121,355
S19S_0090_Sed_Field_ICR-U_p2,4033,2468,671,28,685,330,241,181,170,73,89,61,36,289,146,23,1354,142,417
S19S_0091_Sed_Field_ICR-D_p2,3976,2386,498,38,866,115,69,216,358,84,142,121,40,290,172,74,982,235,472
S19S_0091_Sed_Field_ICR-M_p2,3845,2190,407,61,852,109,40,231,274,88,128,113,40,249,179,69,847,218,475
S19S_0091_Sed_Field_ICR-U_p2,3968,2265,472,52,871,121,45,244,226,106,128,121,50,276,157,75,882,240,464
S19S_0092_Sed_Field_ICR-D_p2,4271,2167,621,59,581,179,118,124,364,59,62,114,35,307,269,53,860,165,364
S19S_0092_Sed_Field_ICR-M_p1,2921,1395,413,41,368,108,67,121,159,55,63,66,37,168,220,42,549,55,258
S19S_0092_Sed_Field_ICR-U_p2,4809,2776,963,64,601,207,181,228,275,144,113,100,47,476,329,51,1147,132,494
S19S_0093_Sed_Field_ICR-D_p15,3938,2741,1019,41,537,383,306,95,268,27,65,103,55,430,215,40,1373,139,386
S19S_0093_Sed_Field_ICR-M_p15,2249,1150,368,25,314,75,85,56,190,20,17,56,15,86,135,26,503,85,244
S19S_0093_Sed_Field_ICR-U_p15,2088,1074,315,38,259,87,82,34,205,19,35,67,19,117,102,37,445,86,201
S19S_0094_Sed_Field_ICR-D_p15,3323,1913,535,33,700,76,40,192,191,66,80,63,20,173,159,36,800,175,487
S19S_0094_Sed_Field_ICR-M_p15,2858,1660,473,37,628,79,26,132,179,38,68,73,30,167,90,34,714,134,418
S19S_0094_Sed_Field_ICR-U_p15,4613,2975,956,48,952,167,158,181,302,70,141,95,43,316,169,69,1388,216,679
S19S_0096_Sed_Field_ICR-D_p15,4196,2678,610,63,1024,127,73,257,270,103,151,122,46,299,206,81,1038,281,605
S19S_0096_Sed_Field_ICR-M_p2,3637,1812,353,39,668,92,25,148,352,57,78,80,29,320,142,35,599,196,411
S19S_0097_Sed_Field_ICR-D_p2,3626,1999,484,32,681,120,40,143,353,51,95,92,22,313,216,40,742,137,437
S19S_0097_Sed_Field_ICR-M_p15,3387,1963,496,31,717,89,56,134,267,48,125,77,21,250,168,41,774,156,476
S19S_0097_Sed_Field_ICR-U_p2,3799,2162,537,38,690,134,81,168,340,78,96,90,29,340,227,50,844,145,437
S19S_0098_Sed_Field_ICR-D_p2,3334,1522,323,45,532,106,28,111,236,46,95,102,44,287,109,56,465,146,313
S19S_0098_Sed_Field_ICR-M_p2,3487,1914,421,39,657,123,32,169,315,63,95,107,34,376,108,65,625,240,359
S19S_0098_Sed_Field_ICR-U_p2,3747,2044,512,38,685,138,52,143,308,64,104,107,33,357,139,65,749,161,433
S19S_0099_Sed_Field_ICR-D_p2,4062,2446,528,44,868,103,45,203,338,66,251,135,40,434,164,42,803,282,546
S19S_0099_Sed_Field_ICR-M_p2,3752,2268,517,35,790,126,54,203,312,68,163,96,35,456,142,54,781,268,436
S19S_0099_Sed_Field_ICR-U_p2,4196,2387,550,40,797,94,76,247,248,146,189,99,25,355,176,27,888,272,545
S19S_0100_Sed_Field_ICR-D_p2,3790,2236,649,40,689,176,120,180,232,63,87,76,21,304,178,40,1077,131,409
S19S_0100_Sed_Field_ICR-M_p2,3946,2382,631,44,798,134,88,193,255,80,159,101,25,363,148,43,1019,223,460
S19S_0100_Sed_Field_ICR-U_p2,3880,2567,691,35,769,275,183,198,207,78,131,83,26,280,122,53,1359,154,490
S19S_0001_Sed_Field_ICR-D_p2,5005,2897,803,44,873,194,163,235,298,103,184,135,47,333,216,68,1328,225,545
S19S_0001_Sed_Field_ICR-M_p2,5012,2987,817,50,877,197,178,238,302,106,222,162,57,364,204,77,1344,255,524
S19S_0001_Sed_Field_ICR-U_p2,4911,2895,744,48,871,194,141,229,360,111,197,198,57,364,206,80,1231,276,483
S19S_0003_Sed_Field_ICR-D_p15,3527,2171,714,28,587,177,221,121,205,61,57,62,31,174,206,26,1138,93,441
S19S_0003_Sed_Field_ICR-U_p15,4255,2633,744,39,782,178,169,145,367,48,161,103,21,317,157,39,1172,260,564
S19S_0004_Sed_Field_ICR-M_p15,4073,2486,568,53,880,114,91,182,328,85,185,120,30,334,186,56,947,242,571
