"Sample","NPOC_Field","NPOC_INC","Ratio_field_inc","Site"
"S19S_0070-U",5.62,7.71,1.37188612099644,"S19S_0070"
"S19S_0037-D",16.06,11.88,1.35185185185185,"S19S_0037"
"S19S_0067-U",29.74,22.1,1.34570135746606,"S19S_0067"
"S19S_0050-U",17.69,13.15,1.34524714828897,"S19S_0050"
"S19S_0032-D",34.48,25.64,1.34477379095164,"S19S_0032"
"S19S_0034-U",15.26,11.38,1.34094903339192,"S19S_0034"
"S19S_0097-D",29.05,21.75,1.33563218390805,"S19S_0097"
"S19S_0020-U",4.94,6.56,1.32793522267206,"S19S_0020"
"S19S_0023-M",11.01,14.61,1.32697547683924,"S19S_0023"
"S19S_0061-M",21.79,28.87,1.32491968793024,"S19S_0061"
"S19S_0100-U",4,5.2,1.3,"S19S_0100"
"S19S_0100-M",5.51,7.16,1.2994555353902,"S19S_0100"
"S19S_0031-M",4.63,6.01,1.29805615550756,"S19S_0031"
"S19S_0060-U",6.2,8,1.29032258064516,"S19S_0060"
"S19S_0064-M",21.81,28.13,1.28977533241632,"S19S_0064"
"S19S_0043-U",8.22,10.57,1.28588807785888,"S19S_0043"
"S19S_0033-M",5.22,6.71,1.28544061302682,"S19S_0033"
"S19S_0027-M",15.12,11.79,1.2824427480916,"S19S_0027"
"S19S_0080-U",20.65,16.12,1.28101736972705,"S19S_0080"
"S19S_0097-U",34.99,27.38,1.27794010226443,"S19S_0097"
"S19S_0073-U",20.24,25.78,1.27371541501976,"S19S_0073"
"S19S_0069-M",5.33,6.77,1.27016885553471,"S19S_0069"
"S19S_0089-M",33.07,41.86,1.26579981856668,"S19S_0089"
"S19S_0035-M",7.76,9.8,1.26288659793814,"S19S_0035"
"S19S_0029-M",31.55,25.06,1.25897845171588,"S19S_0029"
"S19S_0055-U",23.65,18.88,1.25264830508475,"S19S_0055"
"S19S_0025-D",17.98,14.42,1.24687933425798,"S19S_0025"
"S19S_0079-D",17.92,14.41,1.24358084663428,"S19S_0079"
"S19S_0029-D",14.91,12.01,1.24146544546212,"S19S_0029"
"S19S_0043-M",9.84,7.97,1.23462986198243,"S19S_0043"
"S19S_0043-D",21.79,26.89,1.23405231757687,"S19S_0043"
"S19S_0026-U",9.26,11.42,1.23326133909287,"S19S_0026"
"S19S_0066-M",24.13,19.7,1.2248730964467,"S19S_0066"
"S19S_0017-M",4.84,5.92,1.22314049586777,"S19S_0017"
"S19S_0053-U",11.13,9.1,1.22307692307692,"S19S_0053"
"S19S_0078-M",11.38,13.91,1.22231985940246,"S19S_0078"
"S19S_0067-M",21.66,26.3,1.21421975992613,"S19S_0067"
"S19S_0039-M",12.78,10.54,1.21252371916509,"S19S_0039"
"S19S_0055-M",19.72,16.29,1.21055862492327,"S19S_0055"
"S19S_0098-U",29.44,24.45,1.2040899795501,"S19S_0098"
"S19S_0022-U",5.05,6.06,1.2,"S19S_0022"
"S19S_0089-U",32.15,26.86,1.19694713328369,"S19S_0089"
"S19S_0041-U",11.62,9.71,1.1967044284243,"S19S_0041"
"S19S_0081-U",24.22,20.27,1.19486926492353,"S19S_0081"
"S19S_0084-D",9.65,11.47,1.18860103626943,"S19S_0084"
"S19S_0086-U",11.3,9.54,1.18448637316562,"S19S_0086"
"S19S_0008-D",21.39,18.12,1.18046357615894,"S19S_0008"
"S19S_0008-D",21.39,18.12,1.18046357615894,"S19S_0008"
"S19S_0070-D",8.06,6.83,1.1800878477306,"S19S_0070"
"S19S_0021-U",9.95,11.74,1.17989949748744,"S19S_0021"
"S19S_0099-M",14.18,16.7,1.17771509167842,"S19S_0099"
"S19S_0036-D",19.87,16.88,1.1771327014218,"S19S_0036"
"S19S_0036-U",16.05,13.75,1.16727272727273,"S19S_0036"
"S19S_0068-M",7.01,8.18,1.16690442225392,"S19S_0068"
"S19S_0098-D",31.86,37.11,1.16478342749529,"S19S_0098"
"S19S_0006-M",5.27,4.54,1.16079295154185,"S19S_0006"
"S19S_0061-D",17.25,19.99,1.15884057971014,"S19S_0061"
"S19S_0044-M",17.05,14.77,1.15436696005416,"S19S_0044"
"S19S_0081-M",7.58,8.75,1.15435356200528,"S19S_0081"
"S19S_0071-M",20.39,17.7,1.15197740112994,"S19S_0071"
"S19S_0012-U",9.45,10.86,1.14920634920635,"S19S_0012"
"S19S_0066-U",15.42,17.72,1.14915693904021,"S19S_0066"
"S19S_0014-U",9.79,11.25,1.1491317671093,"S19S_0014"
"S19S_0084-M",22.51,19.6,1.1484693877551,"S19S_0084"
"S19S_0017-D",7.86,9.02,1.14758269720102,"S19S_0017"
"S19S_0016-U",10.76,12.3,1.14312267657993,"S19S_0016"
"S19S_0014-M",12.25,13.89,1.13387755102041,"S19S_0014"
"S19S_0090-U",9.21,10.43,1.13246471226927,"S19S_0090"
"S19S_0019-U",8.67,9.8,1.13033448673587,"S19S_0019"
"S19S_0015-M",12.35,10.93,1.12991765782251,"S19S_0015"
"S19S_0010-U",15.69,17.68,1.12683237731039,"S19S_0010"
"S19S_0038-U",10.02,8.9,1.12584269662921,"S19S_0038"
"S19S_0011-M",14.93,13.29,1.12340105342363,"S19S_0011"
"S19S_0059-M",22.84,25.61,1.12127845884413,"S19S_0059"
"S19S_0053-D",12.36,11.03,1.12058023572076,"S19S_0053"
"S19S_0072-D",8.19,9.17,1.11965811965812,"S19S_0072"
"S19S_0020-M",7.87,7.04,1.11789772727273,"S19S_0020"
